id,question,ground_truth,llm_answer,question_length,ground_truth_length,answer_length,num_contexts,faithfulness,answer_relevancy,context_precision,context_recall,average_score,execution_time_seconds,input_tokens,output_tokens,total_tokens,total_cost_usd,cost_per_token,answer_vs_truth_ratio
1,¿En qué momento y quien debe reevaluar el riesgo clínico de una paciente con embarazo de curso normal?,El Ginecobstetra en la semana 28 - 30 y semana 34 – 36.,"1. Respuesta directa a la pregunta:
En un embarazo de curso normal, la reevaluación del riesgo clínico debe realizarse en cada trimestre del embarazo....",102,55,780,8,0.667,0.0,0.25,0.0,0.229,7.652,1740,373,2113,0.005461,2.58e-06,14.18
2,Cual es la semana ideal para iniciar los controles prenatales,"Se recomienda realizar el primer control prenatal en el primer trimestre, idealmente antes de la semana 10 de gestación.",El primer control prenatal debe realizarse preferentemente antes de la semana 12 de embarazo.,61,120,93,8,1.0,0.904,0.5,1.0,0.851,6.21,1625,138,1763,0.003717,2.11e-06,0.78
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,El inicio tardío de controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación.,59,28,140,8,1.0,0.982,0.0,0.0,0.495,4.808,1683,202,1885,0.004039,2.14e-06,5.0
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,La cantidad ideal de controles prenatales para una gestante con embarazo de curso normal no se especifica directamente en los Documentos 1 y 2. Sin em...,51,138,750,8,1.0,0.0,0.806,0.0,0.451,6.346,1684,294,1978,0.005311,2.69e-06,5.43
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración ...","1. Respuesta directa a la pregunta:
La valoración de riesgo psicosocial en los controles prenatales se recomienda realizar mediante una entrevista en ...",95,171,884,8,1.0,0.851,0.909,1.0,0.94,6.703,1672,376,2048,0.004025,1.97e-06,5.17
6,¿Cuándo realizar la valoración de riesgo psico social en el seguimiento de una materna?,Se recomienda evaluar el riesgo biológico y psicosocial a todas las gestantes mediante la escala de Herrera & Hurtado,1. La valoración de riesgo psicosocial en el seguimiento de una materna debe realizarse en el momento de la inscripción al control prenatal y luego en...,87,117,766,8,0.889,0.869,1.0,1.0,0.939,8.056,1703,395,2098,0.00536,2.55e-06,6.55
7,¿Cada cuanto se realiza el tamizaje para depresión posparto durante el embarazo?,"Se recomienda que, en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio se identifique el riesgo de depresión pos...",El tamizaje para depresión posparto durante el embarazo se realiza trimestralmente durante el control prenatal.,80,156,111,8,1.0,0.988,0.982,1.0,0.992,4.577,1771,241,2012,0.004242,2.11e-06,0.71
8,¿Cuál es la probabilidad de parto vaginal luego de una cesárea?,La probabilidad de parto vaginal es de 74% luego de una cesárea sin otros riesgos asociados.,La probabilidad de parto vaginal luego de una cesárea es del 74%.,63,92,65,8,1.0,0.997,1.0,1.0,0.999,4.75,1736,261,1997,0.004158,2.08e-06,0.71
9,¿Cuáles son las metas de ganancia de peso en las mujeres gestantes?,Se recomienda registrar el Índice de Masa Corporal (IMC) de la gestante en la cita de inscripción al control prenatal (alrededor de la semana 10) y co...,1. Las metas de ganancia de peso durante la gestación se establecen según el Índice de Masa Corporal (IMC) de la gestante al momento de la inscripción...,67,465,859,8,0.9,0.93,0.976,1.0,0.951,6.422,1782,415,2197,0.006385,2.91e-06,1.85
10,Cual es el tratamiento para las nauseas y vomito del embarazo,"A juicio del médico tratante, las intervenciones recomendadas para la reducción de la náusea y el vómito incluyen el jengibre, los antihistamínicos y ...","1. El tratamiento recomendado para las náuseas y vómitos durante el embarazo incluye el uso de jengibre, antihistamínicos y vitamina B6.

2. Específic...",61,164,739,8,0.571,0.9,1.0,1.0,0.868,7.062,1845,362,2207,0.004126,1.87e-06,4.51
