id,question,ground_truth,llm_answer,question_length,ground_truth_length,answer_length,num_contexts,faithfulness,answer_relevancy,context_precision,context_recall,average_score,execution_time_seconds,input_tokens,output_tokens,embedding_tokens,total_tokens,total_cost_usd,cost_per_token,answer_vs_truth_ratio
1,¿En qué momento y quien debe reevaluar el riesgo clínico de una paciente con embarazo de curso normal?,El Ginecobstetra en la semana 28 - 30 y semana 34 – 36.,"1. La reevaluación del riesgo clínico en una paciente con embarazo de curso normal debe realizarse durante el control prenatal. 

2. Según el Document...",102,55,1088,8,1.0,0.0,0.31,0.0,0.327,14.148,1766,406,0,2172,0.006119,2.82e-06,19.78
2,Cual es la semana ideal para iniciar los controles prenatales,"Se recomienda realizar el primer control prenatal en el primer trimestre, idealmente antes de la semana 10 de gestación.",La semana ideal para iniciar los controles prenatales es antes de la semana 12 de embarazo.,61,120,91,8,1.0,0.986,0.321,1.0,0.827,7.401,1655,225,0,1880,0.003939,2.1e-06,0.76
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,El inicio tardío de controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación.,59,28,140,8,1.0,0.981,0.2,1.0,0.795,7.23,1682,212,0,1894,0.004052,2.14e-06,5.0
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,La cantidad ideal de controles prenatales para una gestante con embarazo de curso normal no se especifica directamente en los Documentos 1 y 2. Sin em...,51,138,586,8,1.0,0.0,0.7,0.0,0.425,5.831,1680,256,0,1936,0.00487,2.52e-06,4.25
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración ...",1. Respuesta directa a la pregunta: No existe un consenso sobre qué instrumento debe usarse para la valoración de riesgo psicosocial en los controles ...,95,171,983,8,1.0,0.0,0.909,1.0,0.727,7.205,1661,417,0,2078,0.005686,2.74e-06,5.75
6,¿Cuándo realizar la valoración de riesgo psico social en el seguimiento de una materna?,Se recomienda evaluar el riesgo biológico y psicosocial a todas las gestantes mediante la escala de Herrera & Hurtado,"1. La valoración de riesgo psicosocial en el seguimiento de una materna debe realizarse en cada trimestre del embarazo.

2. Específicamente, se recomi...",87,117,625,8,1.0,0.961,0.982,1.0,0.986,6.938,1731,284,0,2015,0.005161,2.56e-06,5.34
7,¿Cada cuanto se realiza el tamizaje para depresión posparto durante el embarazo?,"Se recomienda que, en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio se identifique el riesgo de depresión pos...","El tamizaje para depresión postparto durante el embarazo se realiza en el primer control prenatal, en la semana 28 de gestación y en la consulta de pu...",80,156,158,8,1.0,0.973,0.958,1.0,0.983,11.692,1703,273,0,1976,0.004248,2.15e-06,1.01
8,¿Cuál es la probabilidad de parto vaginal luego de una cesárea?,La probabilidad de parto vaginal es de 74% luego de una cesárea sin otros riesgos asociados.,"1. La probabilidad de parto vaginal luego de una cesárea es del 74%.

2. Este dato se encuentra en el Documento 1, que menciona que se recomienda info...",63,92,573,8,0.2,0.885,0.833,1.0,0.73,7.082,1766,357,0,2123,0.005346,2.52e-06,6.23
9,¿Cuáles son las metas de ganancia de peso en las mujeres gestantes?,Se recomienda registrar el Índice de Masa Corporal (IMC) de la gestante en la cita de inscripción al control prenatal (alrededor de la semana 10) y co...,1. Las metas de ganancia de peso durante la gestación se establecen según el Índice de Masa Corporal (IMC) pregestacional de la mujer. No se recomiend...,67,465,1007,8,0.909,0.848,0.818,1.0,0.894,10.026,1920,413,0,2333,0.006591,2.83e-06,2.17
10,Cual es el tratamiento para las nauseas y vomito del embarazo,"A juicio del médico tratante, las intervenciones recomendadas para la reducción de la náusea y el vómito incluyen el jengibre, los antihistamínicos y ...","1. El tratamiento recomendado para las náuseas y vómitos durante el embarazo incluye el uso de jengibre, antihistamínicos y vitamina B6.

2. Específic...",61,164,696,8,0.833,0.9,1.0,1.0,0.933,7.632,1812,323,0,2135,0.005728,2.68e-06,4.24
